Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_247,VPWR,li1,119.8300,138.7200,1.799800
FILLER_47_244,VPWR,li1,118.4500,138.7200,1.799800
FILLER_47_241,VPWR,li1,117.0700,138.7200,1.799800
FILLER_47_216,VPWR,li1,105.3400,138.7200,1.799805
FILLER_47_197,VPWR,li1,96.3700,138.7200,1.799811
FILLER_47_194,VPWR,li1,95.4500,138.7200,1.799813
FILLER_47_182,VPWR,li1,89.9300,138.7200,1.799818
FILLER_47_118,VPWR,li1,60.0300,138.7200,1.799869
FILLER_47_105,VPWR,li1,54.0500,138.7200,1.799879
FILLER_47_83,VPWR,li1,44.3900,138.7200,1.799905
FILLER_47_77,VPWR,li1,41.1700,138.7200,1.799912
FILLER_47_70,VPWR,li1,38.1800,138.7200,1.799920
FILLER_47_67,VPWR,li1,37.0300,138.7200,1.799927
FILLER_47_54,VPWR,li1,30.8200,138.7200,1.799944
FILLER_47_51,VPWR,li1,29.6700,138.7200,1.799944
FILLER_47_48,VPWR,li1,28.2900,138.7200,1.799951
FILLER_47_45,VPWR,li1,26.9100,138.7200,1.799957
FILLER_47_42,VPWR,li1,25.5300,138.7200,1.799957
FILLER_47_39,VPWR,li1,24.1500,138.7200,1.799962
FILLER_47_36,VPWR,li1,22.7700,138.7200,1.799969
FILLER_47_33,VPWR,li1,21.3900,138.7200,1.799969
FILLER_47_30,VPWR,li1,20.0100,138.7200,1.799969
FILLER_47_27,VPWR,li1,18.6300,138.7200,1.799969
FILLER_47_24,VPWR,li1,17.2500,138.7200,1.799969
FILLER_47_21,VPWR,li1,15.8700,138.7200,1.799969
FILLER_47_18,VPWR,li1,14.4900,138.7200,1.799969
FILLER_47_15,VPWR,li1,13.1100,138.7200,1.799969
FILLER_47_12,VPWR,li1,11.7300,138.7200,1.799969
FILLER_47_9,VPWR,li1,10.3500,138.7200,1.799969
FILLER_47_6,VPWR,li1,8.9700,138.7200,1.799969
FILLER_47_3,VPWR,li1,7.5900,138.7200,1.799969
FILLER_46_309,VPWR,li1,147.8900,138.7200,1.799800
FILLER_46_307,VPWR,li1,146.9700,138.7200,1.799800
FILLER_46_304,VPWR,li1,146.0500,138.7200,1.799800
FILLER_46_301,VPWR,li1,144.6700,138.7200,1.799800
FILLER_46_298,VPWR,li1,143.2900,138.7200,1.799800
