net,length_um
_0632_,2.5µm
_0648_,2.5µm
_0650_,2.5µm
_0672_,2.5µm
_0722_,2.5µm
_0460_,2.38µm
_0550_,2.38µm
net290,2.375µm
_0594_,2.3µm
_0675_,2.3µm
_0293_,2.28µm
_0311_,2.28µm
_0426_,2.28µm
_0662_,2.28µm
_0366_,2.255µm
_0028_,2.22µm
_0375_,2.18µm
_0768_,2.18µm
_0382_,2.16µm
_0423_,2.16µm
_0477_,2.16µm
_0527_,2.16µm
_0582_,2.16µm
_0624_,2.16µm
_0665_,2.16µm
_0705_,2.16µm
_0774_,2.16µm
net101,2.06µm
net387,2.06µm
_0023_,2.04µm
_0194_,2.04µm
_0350_,2.04µm
_0420_,2.04µm
_0547_,2.04µm
_0617_,2.04µm
_0698_,2.04µm
_0782_,2.04µm
_0793_,2.04µm
net225,2.04µm
net392,2.04µm
_0597_,1.94µm
_0746_,1.895µm
_0198_,1.84µm
_0305_,1.84µm
_0567_,1.84µm
_0743_,1.84µm
_0813_,1.84µm
_0490_,1.82µm
_0719_,1.82µm
_0205_,1.72µm
_0363_,1.72µm
_0639_,1.72µm
_0242_,1.7µm
_0384_,1.7µm
_0656_,1.7µm
_0666_,1.7µm
_0763_,1.7µm
net242,1.7µm
net527,1.7µm
_0356_,1.6µm
_0757_,1.6µm
_0276_,1.38µm
_0798_,1.38µm
_0548_,1.36µm
_0602_,1.36µm
_0618_,1.36µm
_0609_,1.26µm
_0272_,0.92µm
_0402_,0.92µm
_0450_,0.92µm
_0726_,0.92µm
_0209_,0.46µm
_0442_,0.46µm
_0485_,0.46µm
_0523_,0.46µm
_0564_,0.46µm
_0647_,0.46µm
_0787_,0.46µm
